ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,FullAddress,geometry,ClosestTrainStation,ClosestBusStation,DistanceToTrainStation_km,DistanceToBusStation_km
SE-00009593,PR-40019230,Bee Happy Child Care Centre,HANCHEN BAO,Centre-Based Care,1 Watson Ave,CROYDON PARK,NSW,2133,0297970041,02 9715 6521,NA,36,21/01/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2022,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2017,15/07/2019,Yes,No,No,No,No,No,No,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"1 Watson Ave, CROYDON PARK, NSW, 2133","c(151.116397851667, -33.894006141412)",Ashfield,Mount St (501),1.1211943204100214,7.596307858032964
SE-00009594,PR-00003119,Woodstock Child Care Centre,J & D Abraham (Nominees) Pty Ltd,Centre-Based Care,92 Fitzroy Street,BURWOOD,NSW,2134,0297156522,NA,NA,63,02/07/2007,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb 2018,02/07/2012,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"92 Fitzroy Street, BURWOOD, NSW, 2134","c(151.104309303269, -33.881892950219)",Burwood,STA Ryde Depot,0.5291885221543813,7.373209675122315
SE-00009595,PR-00003398,Rainbow Cottage Early Learning Centre,Woolgoolga Child Care Centre Inc,Centre-Based Care,71 Turon Parade,WOOLGOOLGA,NSW,2456,0266542277,NA,NA,46,12/02/2007,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov 2018,NA,Yes,No,No,No,No,No,No,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"71 Turon Parade, WOOLGOOLGA, NSW, 2456","c(153.193046298434, -30.111872409522)",Coffs Harbour,Busways,22.26831702179031,76.38990967595228
SE-00009596,PR-00005548,Woollahra Preschool,Council Municipality of Woollahra,Centre-Based Care,512 New South Head Road,DOUBLE BAY,NSW,2028,0293274921,NA,NA,80,24/07/2008,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May 2021,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb 2016,NA,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"512 New South Head Road, DOUBLE BAY, NSW, 2028","c(151.246536705292, -33.874722986424)",Edgecliff,Bondi Junction Interchange,1.084796414883391,1.8670805932116334
SE-00009598,PR-00005183,World Tower Child Care Centre,Bimbee Pty Ltd,Centre-Based Care,Level 14/87-89 Liverpool Street,SYDNEY,NSW,2000,02 9262 7927,02 9262 7794,NA,90,23/12/2008,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2019,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Aug 2017,NA,Yes,No,No,No,No,No,No,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Level 14/87-89 Liverpool Street, SYDNEY, NSW, 2000","c(151.206691065434, -33.877274060565)",Capitol Square,Maritime Museum (389 terminus),0.29704549705461086,1.1370946476572446
SE-00009599,PR-00004359,Woy Woy Peninsula Child Care,Woy Woy Peninsula Community Child Care Co-Operative Society Ltd,Centre-Based Care,John Hoare Close,WOY WOY,NSW,2256,0243419666,NA,NA,42,28/10/2006,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2021,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep 2016,NA,Yes,No,Yes,No,No,No,No,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"John Hoare Close, WOY WOY, NSW, 2256","c(151.320720927356, -33.499691813633)",Woy Woy,Brisbane Water Dr opp Tascott Station,1.5538241699340267,5.371697526440017
SE-00009600,PR-00004200,Woy Woy Preschool,Belahlee Pty Ltd,Centre-Based Care,"Bib And Bub Child Care, 144 Blackwall Road",WOY WOY,NSW,2256,02 4341 4907,02 4341 6293,NA,48,08/07/2009,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug 2023,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2018,NA,Yes,No,No,No,No,No,No,07:00:00,17:30:00,07:00:00,17:30:00,07:00:00,17:30:00,07:00:00,17:30:00,07:00:00,17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Bib And Bub Child Care, 144 Blackwall Road, WOY WOY, NSW, 2256","c(151.327369181126, -33.491598010758)",Woy Woy,Brisbane Water Dr opp Tascott Station,0.7479849459722406,4.542027827805905
SE-00009601,PR-00005345,Woy Woy Public School Guliyali Preschool,Department of Education,Centre-Based Care,Blackwall and Park Roads,WOY WOY,NSW,2256,02 4341 3555,02 4344 3927,NA,20,10/09/2010,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct 2023,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct 2018,NA,No,Yes,No,No,No,No,No,08:55:00,14:55:00,08:55:00,14:55:00,08:55:00,14:55:00,08:55:00,14:55:00,08:55:00,14:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Blackwall and Park Roads, WOY WOY, NSW, 2256","c(151.326712291374, -33.490857301974)",Woy Woy,Brisbane Water Dr opp Tascott Station,0.6458459459239064,4.450107652443118
SE-00009603,PR-00003385,Wycliffe Christian School - Transition Class,The John Wycliffe Christian Education Association Ltd,Centre-Based Care,"John Wycliffe Christian School, 133 Rickard Road",WARRIMOO,NSW,2774,0247536422,NA,NA,20,28/01/2009,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul 2021,NA,No,Yes,No,No,No,No,No,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"John Wycliffe Christian School, 133 Rickard Road, WARRIMOO, NSW, 2774","c(150.615258864414, -33.71997272769)",Warrimoo,Hillsbus Dural Depot,1.2045244381910811,38.62127247633426
SE-00009604,PR-00004928,Wyee Child Care Centre,Bishk Pty Ltd,Centre-Based Care,5 Collungra Street,WYEE,NSW,2259,02 4357 1758,02 4357 1758,NA,50,08/09/2007,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2022,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan 2020,NA,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,10:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"5 Collungra Street, WYEE, NSW, 2259","c(151.48195058642, -33.175271732349)",Wyee,Morisset Bus Interchange,0.7414872054859589,7.440948383077375
SE-00009605,PR-40014989,Learn & Laugh,Learn & Laugh No 4 Pty Ltd,Centre-Based Care,281 Henry Parry Drive,WYOMING,NSW,2250,02 4325 3924,02 9697 3152,NA,55,19/01/2009,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2023,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,May 2019,09/11/2020,Yes,No,No,No,No,No,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"281 Henry Parry Drive, WYOMING, NSW, 2250","c(151.350218249182, -33.411498280899)",Gosford,"Narara Station, Narara Valley Dr",1.5424118544471368,1.9737503461104697
SE-00009606,PR-40001112,Milestones Early Learning Wyong,Affinity Education Group Pty Limited,Centre-Based Care,8 Amy Close,NORTH WYONG,NSW,2259,0243534967,NA,NA,79,03/09/2008,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2021,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug 2016,07/06/2021,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"8 Amy Close, NORTH WYONG, NSW, 2259","c(151.435906529164, -33.267533771353)",Wyong,"Westfield Tuggerah, Stand C",2.23101357187217,5.103153179348098
SE-00009607,PR-00004340,Wyong Preschool Kindergarten Association Incorporated,Wyong Pre-School Kindergarten Association Incorporated,Centre-Based Care,9-13 Rose Street,WYONG,NSW,2259,0243522392,0243534766,NA,60,21/10/2008,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov 2019,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug 2014,NA,No,No,Yes,No,No,No,No,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,08:15:00,15:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"9-13 Rose Street, WYONG, NSW, 2259","c(151.429279293599, -33.285040801058)",Wyong,"Westfield Tuggerah, Stand C",0.38037679607962177,3.0821214979472438
SE-00009608,PR-40030540,Antara on Wyralla Childcare & Preschool,ANTARA MIRANDA PTY LTD,Centre-Based Care,98 Wyralla Road,MIRANDA,NSW,2228,0295268700,0295268884,NA,39,04/05/2009,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr 2019,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Jul 2014,01/12/2022,Yes,No,No,No,No,No,No,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"98 Wyralla Road, MIRANDA, NSW, 2228","c(151.094662822361, -34.040904400889)",Miranda,UTS Shuttle Bus,0.9001556559104498,14.907339586504149
SE-00009610,PR-00004279,Yamba PreSchool,Yamba Preschool Kindergarten Association Incorporated,Centre-Based Care,"Yamba Pre School, 6 Phoenix Cl",YAMBA,NSW,2464,6646 2800,6646 2800,NA,29,11/05/2007,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb 2019,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec 2013,NA,No,No,Yes,No,No,No,No,08:00:00,15:30:00,08:00:00,15:30:00,08:00:00,15:30:00,08:00:00,15:30:00,08:00:00,15:30:00,NA,NA,NA,NA,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Yamba Pre School, 6 Phoenix Cl, YAMBA, NSW, 2464","c(153.3502, -29.4388)",Grafton City,Busways,49.33056280714965,0.06684436313141354
SE-00009611,PR-40003831,Yaralla Child Care Centre,Sydney Local Health District Trading As Concord Repatriation General Hospital,Centre-Based Care,"Gate 4, Nullawarra Avenue",CONCORD,NSW,2139,0297676308,NA,NA,60,31/10/2008,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2019,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jul 2015,27/11/2015,Yes,No,No,No,No,No,No,06:30:00,17:45:00,06:30:00,17:45:00,06:30:00,17:45:00,06:30:00,17:45:00,06:30:00,17:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Gate 4, Nullawarra Avenue, CONCORD, NSW, 2139","c(151.095106225039, -33.84844903082)",Concord West,STA Ryde Depot,0.8778340746381534,4.283441683508234
SE-00009612,PR-00003589,Yarm Gwanga Preschool and Early Education Centre,The University of New England,Centre-Based Care,"University of New England campus, Trevenna Road",ARMIDALE,NSW,2351,02 6773 3173,02 6773 3427,NA,56,23/11/2008,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2022,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Feb 2019,NA,Yes,No,No,No,No,No,No,08:00:00,17:45:00,08:00:00,17:45:00,08:00:00,17:45:00,08:00:00,17:45:00,08:00:00,17:45:00,08:00:00,17:45:00,08:00:00,17:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"University of New England campus, Trevenna Road, ARMIDALE, NSW, 2351","c(151.637850381265, -30.484875231276)",Uralla,Kempsey Coach Terminal,21.816874323825978,132.60411325749666
SE-00009615,PR-00004245,Yarrawong Preschool and Early Education Centre,Orange City Council,Centre-Based Care,2 Yarrawong Pl,ORANGE,NSW,2800,02 6393 8080,NA,NA,61,13/05/2007,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2021,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Apr 2016,NA,Yes,No,Yes,No,No,No,No,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"2 Yarrawong Pl, ORANGE, NSW, 2800","c(149.074358953663, -33.265900012695)",Orange East Fork,Mountain Shuttle Bus,4.6361890672996555,48.59754873173069
SE-00009616,PR-00004986,Yarrunga Early Learning Centre Inc.,Yarrunga Early Learning Centre Inc,Centre-Based Care,371-373 Woodstock Court,ALBURY,NSW,2640,02 6021 7597,0260232015,NA,52,05/07/2008,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Sep 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2018,NA,Yes,No,No,No,No,No,No,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"371-373 Woodstock Court, ALBURY, NSW, 2640","c(146.926233827568, -36.085837025235)",Springhurst,Albury Station,42.47324825423136,0.22490800320202678
SE-00009617,PR-00003317,Yass Early Childhood Centre,Yass Early Childhood Centre Assn Inc,Centre-Based Care,"Banjo Patterson Park, Meehan Street",YASS,NSW,2582,0262261560,NA,NA,50,01/12/2008,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug 2019,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan 2015,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Banjo Patterson Park, Meehan Street, YASS, NSW, 2582","c(148.9135897, -34.8408269)",Yass Junction,ANU Bus Stop,3.5496772877658027,52.213686127531325
SE-00009618,PR-00004110,Yass Montessori Preschool,Yass Montessori Pre-School,Centre-Based Care,262A Comur St,YASS,NSW,2582,02 6226 1596,02 6226 1596,NA,30,30/10/2008,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2019,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov 2014,NA,No,No,Yes,No,No,No,No,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"262A Comur St, YASS, NSW, 2582","c(148.915315023118, -34.846065158418)",Yass Junction,ANU Bus Stop,4.129460366993321,51.6136263820932
SE-00009619,PR-00005345,Yates Avenue Public School Preschool,Department of Education,Centre-Based Care,Yates Avenue,DUNDAS,NSW,2117,02 9874 6302,02 9804 6260,NA,28,13/11/2008,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Apr 2024,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Nov 2018,NA,No,Yes,No,No,No,No,No,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Yates Avenue, DUNDAS, NSW, 2117","c(151.05588775465, -33.794086607094)",Telopea,"M2 Motorway, Oakes Rd",1.3644006486359939,4.050837307590926
